,"State, federaldistrict, or territory",Most populous,Most populous,2nd most populous,2nd most populous,3rd most populous,3rd most populous,4th most populous,4th most populous,5th most populous,5th most populous
,"State, federaldistrict, or territory",Name,Population,Name,Population,Name,Population,Name,Population,Name,Population
0,Alabama,Birmingham,208928,Huntsville,204189.0,Montgomery,198956.0,Mobile,189572.0,Tuscaloosa,"101,113 [6]"
1,Alaska,Anchorage,291538,Juneau,32113.0,Fairbanks,31516.0,Wasilla,10529.0,Sitka,8647
2,American Samoa,Tafuna,"7,945[8]",Nu'uuli,3955.0,Pago Pago,3656.0,'Ili'ili,3195.0,Pava'ia'i,2450
3,Arizona,Phoenix,1660272,Tucson,545975.0,Mesa,508958.0,Chandler,257165.0,Scottsdale,255310
4,Arkansas,Little Rock,197881,Fort Smith,87845.0,Fayetteville,86751.0,Springdale,81029.0,Jonesboro,76990
5,California,Los Angeles,3994928,San Diego,1425976.0,San Jose,1030119.0,San Francisco,884198.0,Fresno,530093
6,Colorado,Denver,716492,Colorado Springs,483829.0,Aurora,374114.0,Fort Collins,167830.0,Lakewood,156798
7,Connecticut,Bridgeport,144900,New Haven,130418.0,Stamford,129775.0,Hartford,122587.0,Waterbury,108093
8,Delaware,Wilmington,70635,Dover,38079.0,Newark,33673.0,Middletown,22582.0,Smyrna,11580
9,District of Columbia,"Washington, D.C.",702455,,,,,,,,
10,Florida,Jacksonville,903889,Miami,474176.0,Tampa,401189.0,Orlando,289191.0,St. Petersburg,265098
11,Georgia,Atlanta,504527,Augusta,196939.0,Columbus,194160.0,Macon,153095.0,Savannah,147181
12,Guam,Dededo,44943,Yigo,20539.0,Tamuning,19685.0,Mangilao,15191.0,Barrigada,8875
13,Hawaii,Honolulu1,347397,East Honolulu 1,49914.0,Pearl City1,47698.0,Hilo1,43263.0,Kailua1,38635
14,Idaho,Boise,228790,Meridian,106894.0,Nampa,96252.0,Idaho Falls,63398.0,Caldwell,56541
15,Illinois,Chicago,2705994,Aurora,198187.0,Naperville,148304.0,Joliet,148099.0,Rockford,146526
16,Indiana,Indianapolis,867125,Fort Wayne,267633.0,Evansville,117963.0,South Bend,103290.0,Carmel,97928
17,Iowa,Des Moines,216853,Cedar Rapids,133174.0,Davenport,102085.0,Sioux City,82396.0,Iowa City,76290
18,Kansas,Wichita,389225,Overland Park,196718.0,Kansas City,152958.0,Olathe,139605.0,Topeka,125904
19,Kentucky,Louisville,620578,Lexington,323780.0,Bowling Green,68401.0,Owensboro,59809.0,Covington,40366
20,Louisiana,New Orleans,399187,Baton Rouge',221599.0,Shreveport,185902.0,Lafayette,126143.0,Lake Charles,78001
21,Maine,Portland,66417,Lewiston,35944.0,Bangor,31997.0,South Portland,25606.0,Auburn,23196
